3.6216,     8.6661,     -2.8073,    1.1952,     0
-3.5637,    8.1674,     6.4774,     -0.44699,   0
3.866,      8.6661,     6.4774,     1.1952,     2
3.6216,     8.1674,     -2.8073,    -0.44699,   2
-3.5637,    8.6661,     -2.8073,    -0.44699,   2
-3.5637,    8.1674,     6.4774,     1.1952,     1
3.866,      8.6661,     -2.8073,    1.1952,     0
3.6216,     8.1674,     6.4774,     -0.44699,   1
-3.5637,    8.1674,     -2.8073,    -0.44699,   1
3.866,      -0.65804,    6.4774,    1.1952,     1
